group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedulers,async,128-240,94371840,bytes,99527575.0,ns,23
schedulers,async,128-240,94371840,bytes,195332855.0,ns,46
schedulers,async,128-240,94371840,bytes,284965155.0,ns,69
schedulers,async,128-240,94371840,bytes,381181945.0,ns,92
schedulers,async,128-240,94371840,bytes,469163429.0,ns,115
schedulers,async,128-240,94371840,bytes,581282780.0,ns,138
schedulers,async,128-240,94371840,bytes,662331293.0,ns,161
schedulers,async,128-240,94371840,bytes,754478405.0,ns,184
schedulers,async,128-240,94371840,bytes,848479622.0,ns,207
schedulers,async,128-240,94371840,bytes,952809182.0,ns,230
