value,time
32-12, 1
32-24, 1
32-48, 1
32-96, 3
32-120, 4
32-240, 9
32-360, 13
32-600, 22
32-800, 30
32-1200, 45
32-2400, 90
32-4800, 178
32-9600, 319
32-12000, 539
64-12, 1
64-24, 2
64-48, 5
64-96, 11
64-120, 15
64-240, 30
64-360, 45
64-600, 74
64-800, 102
64-1200, 159
64-2400, 314
64-4800, 533
64-9600, 799
64-12000, 992
128-12, 3
128-24, 7
128-48, 14
128-96, 28
128-120, 34
128-240, 69
128-360, 104
128-600, 176
128-800, 235
128-1200, 363
128-2400, 738
128-4800, 1494
128-9600, 2908
128-12000, 2861
256-12, 11
256-24, 22
256-48, 43
256-96, 86
256-120, 116
256-240, 217
256-360, 328
256-600, 544
256-800, 725
256-1200, 1168
256-2400, 2969
256-4800, 5363
256-9600, 15592
256-12000, 27533
512-12, 207
512-24, 399
512-48, 745
512-96, 1055
512-120, 1369
512-240, 2693
512-360, 1642
512-600, 3152
512-800, 5329
512-1200, 15240
512-2400, 10576
512-4800, 39674
512-9600, 52738
512-12000, 99688
1024-12, 325
1024-24, 449
1024-48, 597
1024-96, 2088
1024-120, 2641
1024-240, 3806
1024-360, 4708
1024-600, 13156
1024-800, 22232
1024-1200, 24316
1024-2400, 43887
1024-4800, 102117
