value,time
32-24,41
32-48,90
32-96,196
32-120,254
32-240,492
32-360,721
32-600,1275
32-800,1794
32-1200,2536
32-2400,4833
32-4800,9290
32-9600,24089
32-12000,28145
64-12,20
64-24,41
64-48,95
64-96,183
64-120,223
64-240,477
64-360,850
64-600,1243
64-800,1511
64-1200,2216
64-2400,4283
64-4800,9599
64-9600,19010
64-12000,26637
128-12,20
128-24,40
128-48,84
128-96,174
128-120,207
128-240,490
128-360,616
128-600,989
128-800,1431
128-1200,2532
128-2400,4938
128-4800,10107
128-9600,20637
128-12000,45179
256-12,20
256-24,40
256-48,83
256-96,164
256-120,227
256-240,478
256-360,739
256-600,1062
256-800,1393
256-1200,2292
256-2400,5009
256-4800,10089
256-9600,20805
256-12000,25513
512-12,20
512-24,42
512-48,85
512-96,169
512-120,224
512-240,495
512-360,702
512-600,1215
512-800,1491
512-1200,2417
1024-12,19
1024-24,41
1024-48,87
1024-96,176
1024-120,233
1024-240,441
1024-360,720
1024-600,1268
1024-800,1599
1024-1200,2675
1024-2400, 5349
